id,oai_identifier,oai_datestamp,auth_name,auth_date,auth_activity,auth_occupation,auth_biography,auth_datestamp,nkp_aut_url,cover,ts,harvest_max_eshop,harvest_last_time,viafID
hka0111824,oai:aleph-nkp.cz:AUT10-000110734,2012-06-30T22:27:41Z,"Vernerová, Michaela,",1973-,NULL,NULL,"Narozena 15.9.1973 Slané. Vysokoškolská studentka, sportovkyně, judistka.",19990212000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000110734&local_base=AUT,1387079,"2016-03-05 21:58:25",7040,"2016-08-24 04:21:34",83653390
hka2009498642,oai:aleph-nkp.cz:AUT10-000498642,2014-08-27T00:01:20Z,"Domšová, Václava,",1957-2014,NULL,NULL,"Narozena 23. 9. 1957 v Ledči nad Sázavou, zemřela 6. 7. 2014. Ing., politička, civilním povoláním zootechnička.",20140826121415.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000498642&local_base=AUT,1387079,"2016-03-06 10:37:27",7040,"2016-08-24 04:23:24",103095161
hka2010616099,oai:aleph-nkp.cz:AUT10-000616099,2014-10-24T00:00:46Z,"Šánová, Zuzana,",1959-,NULL,NULL,"Narozena 24. 5. 1959. Ing., ekonomka, odborná lektorka v oboru účetnictví, vysokoškolská pedagožka, publikace z oboru, též politička.",20141023075519.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000616099&local_base=AUT,1387079,"2016-03-06 10:43:36",7040,"2016-08-24 04:40:47",160539147
hka2011637152,oai:aleph-nkp.cz:AUT10-000637152,2015-04-28T11:53:53Z,"Maclová, Aneta,",1960-,NULL,NULL,"Narozena 9. 2. 1960 v Trenčíně. Redaktorka Hradeckých novin. Od r. 1998 ředitelka Oblastní charity v Hradci Králové. Od r. 2010 členka zastupitelstva města. Fotografka.",20150428135250.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000637152&local_base=AUT,1387079,"2016-03-06 11:00:56",7040,"2016-08-24 04:46:38",171297419
hka2012678533,oai:aleph-nkp.cz:AUT10-000678533,2015-05-29T09:52:07Z,"Jehličková, Jaroslava,",1942-,NULL,"běžkyně, atletky","Narozena 24. 3. 1942 v Hořicích (okr. Jičín). Bývalá sportovkyně, atletka, běžkyně.",20150529115113.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000678533&local_base=AUT,1387079,"2016-03-06 11:13:36",7040,"2016-08-24 04:56:55",222815806
jk01012744,oai:aleph-nkp.cz:AUT10-000002473,2012-06-30T22:26:51Z,"Bosáková, Eva,",1931-1991,NULL,NULL,"Narozena 18.12.1931 v Mladé Boleslavi, zemřela 11.1.1991 v Praze. Gymnastka, práce z oboru.",19990826000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000002473&local_base=AUT,1387079,"2016-03-05 21:50:33",7040,"2016-08-24 04:05:25",83672632
jk01023195,oai:aleph-nkp.cz:AUT10-000006040,2012-06-30T22:27:03Z,"Dubská, Gabriela,",1915-2003,NULL,NULL,"Narozena 8.3.1915 v Břeclavi, zemřela 22.8.2003 v Kosoři. Akademická malířka, ilustrátorka, textilní návrhářka.",20070528101859.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000006040&local_base=AUT,1387079,"2016-03-05 21:51:48",7040,"2016-08-24 05:19:32",114358524
jk01031114,oai:aleph-nkp.cz:AUT10-000007270,2012-06-30T22:27:07Z,"Fikejzová, Jiřina,",1927-,NULL,NULL,"Narozena 13.4.1927 v Lomu u Mostu. PhDr., skladatelka textů a tanečních písní.",20000926000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000007270&local_base=AUT,1387079,"2016-03-05 21:52:28",7040,"2016-08-24 05:41:53",8256518
jk01032058,oai:aleph-nkp.cz:AUT10-000008143,2012-06-30T22:27:11Z,"Frýbová, Zdena,",1934-2010,NULL,NULL,"Narozena 30. 8. 1934 v Praze, zemřela 22. 2. 2010 tamtéž. Spisovatelka a novinářka.",20100223154648.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000008143&local_base=AUT,1387079,"2016-03-05 21:52:57",7040,"2016-08-24 06:00:03",17299106
jk01032095,oai:aleph-nkp.cz:AUT10-000008132,2012-06-30T22:27:11Z,"Fryšová, Emilie,",1840-1920,NULL,NULL,"Narozena 23.7.1840 v Praze, zemřela 17.1.1920 v Písku. Učitelka, etnografka, literatura z oboru, učebnice dějepisu.",19980319000000.0,http://aleph.nkp.cz/F/?func=direct&doc_number=000008132&local_base=AUT,1387079,"2016-03-05 21:52:55",7040,"2016-08-24 06:00:48",83713658
